Source,Target
330603,48951
123058,48954
314121,48954
339622,49151
87712,49157
330556,49157
222026,49307
330594,49307
330603,49307
339622,49307
340052,49307
330504,49309
339622,49309
339622,49387
275883,50736
339622,50736
275883,50771
339622,50771
339885,50771
314121,50772
275883,50784
339622,50784
339885,50784
158188,50789
330594,50789
330504,50945
330594,50945
330588,50945
339622,50945
322047,50976
330594,50976
330594,51080
339622,51128
339622,51132
339622,51238
66660,51245
283564,51262
161106,51300
275883,51300
339622,51300
339885,51300
340095,51300
123058,51486
314121,51486
330594,51489
330681,51489
275883,51546
339622,51546
339885,51546
357340,51685
339622,51693
339629,51693
330594,51699
158188,51774
330594,51774
342003,51774
63749,51822
19221,51851
158188,51902
330594,51902
333598,51971
123058,52028
314121,52028
330756,52066
6911,52077
158074,52077
185845,52077
197545,52077
339622,52077
97286,52110
330594,52110
97286,52113
97283,52113
339622,52113
180022,52118
187105,52178
339622,52178
162485,52194
302255,52214
97286,52286
339622,52286
302255,52359
123058,52380
314121,52380
330594,52384
322047,52387
158188,52406
158188,52410
330594,52410
330621,52410
221727,52428
309299,52428
339622,52428
339622,52430
339622,52431
339622,52502
339622,52516
276021,52518
307987,52518
339622,52518
330594,52527
123058,52589
66496,52632
66496,52641
97286,53003
330594,53003
319311,53005
330594,53005
66496,53010
97286,53026
339622,53026
266866,53096
66496,53172
256286,53183
330621,53183
330594,53303
66496,53370
8654,53394
8686,53394
314121,53394
342003,53394
339622,53396
66496,53410
339622,53444
330594,53610
314121,53690
123058,53692
314121,53692
