Id,Label,timeset,package name,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,clustering,eigencentrality,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree,pageranks
179623,,,memcnn,1,1,1,1,788,1,1,2,0,0.000402,0.02497,0,1,1,2,0.000147
179666,,,memory-compressed-attention,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
179672,,,memory-efficient-attention,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
179682,,,memory-transformer-xl,0,0,0,0,788,2,0,2,0.5,0.001531,0.025023,0,2,0,2,0.000189
179687,,,memory-efficient-attention-pytorch,0,0,0,0,788,2,0,2,0,0.000803,0.0278,0,2,0,2,0.000148
179717,,,memtorch-cpu,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
179722,,,memtorch,0,0,0,0,1462,0,0,0,0,0,0,0,0,0,0,0.000147
179731,,,memorizing-transformers-pytorch,0,0,0,0,788,3,0,3,0.166667,0.001932,0.027961,0,3,0,3,0.000164
179777,,,menovideo,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
179806,,,mentality,0,0,0,0,1463,0,0,0,0,0,0,0,0,0,0,0.000147
179981,,,mercury-ml,0,0,0,0,2709,3,0,3,0,0.066864,0.005493,0,3,0,3,0.000274
180022,,,mergedeep,0,0,0,0,1464,0,0,0,0,0,0,0,0,0,0,0.000147
180093,,,merlin-models,0,0,0,0,1465,0,0,0,0,0,0,0,0,0,0,0.000147
180097,,,merlin-systems,0,0,0,0,1466,0,0,0,0,0,0,0,0,0,0,0.000147
180204,,,mesh-tensorflow,2,0.636364,0.714286,16.666667,2712,4,3,7,0.214286,0.169183,0.005005,0.000335,4,3,7,0.000167
180218,,,mesma,0,0,0,0,1467,0,0,0,0,0,0,0,0,0,0,0.000147
180225,,,mesmer-openscmrunner,0,0,0,0,1468,0,0,0,0,0,0,0,0,0,0,0.000147
180283,,,message-passing-nn,0,0,0,0,1469,0,0,0,0,0,0,0,0,0,0,0.000147
180550,,,meta-blocks,0,0,0,0,2121,2,0,2,0,0.03436,0.00525,0,2,0,2,0.00015
180720,,,meta-learn,0,0,0,0,1470,0,0,0,0,0,0,0,0,0,0,0.000147
180725,,,metahyper,1,1,1,0,788,0,1,1,0,0,0,0.000661,0,1,1,0.000147
